"nr_job_demanding_skills","skills"
"8","sql"
"7","python"
"6","tableau"
"4","r"
"3","snowflake"
"3","pandas"
"3","excel"
"2","atlassian"
"2","jira"
"2","aws"
"2","azure"
"2","bitbucket"
"2","confluence"
"2","gitlab"
"2","go"
"2","numpy"
"2","oracle"
"2","power bi"
"1","jenkins"
"1","crystal"
"1","powerpoint"
"1","pyspark"
"1","hadoop"
"1","git"
"1","sap"
"1","jupyter"
"1","flow"
"1","databricks"
